age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
21,single,m,straight,athletic,mostly anything,rarely,never,working on med school,white,72,500000,medicine / health,2012-03-17-21-19,"burlingame, california",,has dogs,,aries and it&rsquo;s fun to think about,no,english,"hi, im sean, so these sites are always a wired experience. obviously were here because its free, and well were here to meet people, so feel free to shoot me a message if you want, thats why were here right? but im still going to school as of now, im working as a medic right now( i have lots of crazy story's if you wana hear them) and am eather going straight to med school or go into business to take over my fathers business. well see what happens, hope to hear from you soon!","still going to school, but am currently working as a medic, seems like a good idea since im running alot of baseball camps and coaching private lessons. i also just like to help other people and do all i can for those who need help.","talking to anyone, im pretty easy going!",im nice and easy to get along with,,being happy my phone my family my friends my life,,"out with the guys, figuring out something to do, or just out and about, but home is not the place to be on a friday night",,"you read all the way down to here, say something if you want too!"
28,single,f,straight,,,socially,never,graduated from law school,pacific islander,64,-1,law / legal services,2012-06-30-00-04,"san francisco, california","doesn't have kids, but might want them",likes dogs,,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)","i pride myself on having fun no matter where i am or what i'm doing. i smile a lot and i have a tendency to laugh at inappropriate times. i love the law but hated law school. brunch is my favorite meal. i bleed blue and gold. maker's and ginger ale is my beverage of choice. every once in a while i still find myself amazed when i realize that i'm lucky enough to live in san francisco. i speak in superlatives and hyperbole constantly (see what i did there?). i know my age up there says i'm 28, but sometimes i could swear that i'm still 16 and i'm just playing pretend at this whole ""grownup/lawyer/responsible person"" business.",i'm a practicing attorney who is trying to find the balance between doing what i love and doing what will pay off the student loans.,finding answers. baking! storytelling. cheering for cal football. pop culture trivia. putting together sweet playlists. making you feel like you're hilarious (it doesn't take much to get me to laugh). other stuff too.  what i'm not really good at: figuring out what to do with okcupid,my laugh...i'm pretty loud.,"books: anything from really trashy chick lit to young adult fiction (hello, hunger games) to justice stevens' memoir.  movies: i'll watch anything except for horror films. my overactive imagination prevents me from sleeping well after seeing a scary movie trailer, let alone a whole movie.  shows: 30 rock, parks & rec, conan, jimmy fallon, mad men, once upon a time, the office  music: a mix of pop, country, rap, and random stuff sprinkled throughout. if i can dance to it, i'll probably like it.  food: i'll try anything twice (you never know, maybe that first time was a fluke).","soap. brunch. my kindle. peanut butter. music. tapatio.  (obviously i would be unable to exist without my family and friends, but i figure they're not ""things"" so i didn't list them)","planning my next trip to somewhere. whether it's a road trip to a place two hours away or a flight across the country, i get super excited about travelling and experiencing new things.",,i'm terrified of dating websites.,you're looking for someone to laugh with.
29,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,white,66,-1,other,2012-06-29-19-06,"martinez, california",doesn't have kids,,christianity and very serious about it,,no,english,"i graduated with a bs and now have a full time career in san francisco, but i live in the east bay with two roommates. i enjoy watching hockey, baseball, and football (probably in that order too). i'm a fan of the outdoors; mostly backpacking, but dabble in other activities. i love to travel, fly, and am huge into motorcycles.  i'm on this site because i don't have much free time or the avenues of meeting people. i'm a born again christian and my faith is very important to me. i won't end up with anybody who doesn't understand who christ is and trust in him alone for salvation. i do, however, realize life isn't always about where you've been but where you're going. where you're going is what's important to me. and i realize, of course, that nobody is perfect; i'll be the first to tell you i'm not!","working, trying to explore the world little bits at a time, and enjoying life and friends.",eating ice cream,,,,,,,
36,single,m,straight,average,,socially,,graduated from masters program,,68,-1,education / academia,2012-06-24-23-44,"san francisco, california",,,,virgo,no,"english, spanish","i grew up in seattle and mexico city and therefore enjoy both outdoor activities and city life. this upbringing fuels my love of travel (costa rica most recently) and for food and wines from around the world. i grew up with a wonderful family of artists and teachers so i have a passion for learning and all things creative.  professionally, i work in the area of international and public affairs. i started my career as a political speechwriter in d.c. and have since focused on starting educational programs and fundraising for charitable organizations. helping others and being active in the community are important values and i set ambitious goals for myself in these areas. in this regard, i'm looking for a woman who is similarly driven, and wants to make the world a better place.  my idea of heaven is sitting at a sidewalk cafe on a warm summer evening sharing great food, wine and conversation with a woman i adore. i love spending time with family (my sister is one of my closest friends) and i appreciate making friends everywhere i go. i'm looking for a partner who also likes being social and finds positive qualities in others.  i enjoy long distance running, tennis, yoga and most team sports. i play on a kickball team during the summer. i also spend my time going to watch music and live theater. i'm a big fan of discovering and supporting local musicians, and artist. some of my hobbies include playing music, salsa dancing and photography.  i'm looking for an attractive, confident woman who loves great conversation, being active and sampling cuisine from all over the world. a positive person who enjoys learning and always sees the glass as  full. bonus points for artistic use of sarcasm and the curiosity to try new things.",i do fundraising and leadership development for nonprofit organizations.,making new friends and bringing people together. i guess it's just a natural talent of mine.,besides the fact that i'm devilishly good looking:) i would say my interest in learning about others and what makes them tick.,"parks and recreation, 30 rock, the west wing, frasier, harry potter, the 4 hour work week , lonely planet argentina moulin rouge, the american president, dumb and dumber, that thing you do, bon jovi, aerosmith, damien rice, jeff buckley, sheryl crow, the beatles, and duke ellington",dinner with friends and family world travel to sunny places learning volunteering running watermelon,hmmm...to be honest i'm too wrapped up enjoying the current moment.,doing dinner and drinks with friends attending a happy hour or fundraiser for charity organizing a potluck or house party going to the theater or a show.,,"you're ready for an honest and fun relationship, i'd love to hear from you"
28,single,m,straight,athletic,,socially,,graduated from college/university,white,71,-1,education / academia,2012-06-29-22-07,"oakland, california",doesn't have kids,likes dogs,agnosticism,,no,"english (fluently), spanish (fluently)",,,"dancing (ex: check the profile picture. i didn't pick the costume but i am definitely dancing well in it.)  money (ex: i've helped friends in my spare time create budgets and start investing. i'll help anyone that asks.)  being my own person and ignoring social pressures (ex: biking around town to save health and $ to travel the world or using a cell phone that is so old it runs on the holy spirit.)  standing up for what i think is important (ex: taking time off for a pro-choice rally, intervening when i see cops on power-trips, or arguing for m&m's to bring back the light brown shells.)","physically: the shape and color of my eyes or the fact i have gray hairs.  personality: horrible at remembering names but i love people.  socially: many friends who are female and almost all of my friends, male and female, are those types of people who make anyone feel welcome in any situation.","movies: the first movie that made me cry was the land before time... ""mama? mama? wake up mama""... omgeezy that got me.  books: poetry by pablo neruda and 1984  shows: arrested development, scrubs, strangers with candy, the office, the wire... i used to love the simpsons and in living color  music: stevie wonder, jamie lidell, janelle monae, van morrison, raphael saadiq, white stripes, michael jackson, prince... if you can't appreciate these artists then an intervention is in order.","music, family, friends, nature, healthy body, sunshine",being challenged and learning. tell me something interesting you read or heard. tell me what you think about my actions or what i say. i really love being challenged and learning. i wrote it twice for emphasis.,happy to be alive.,is anything that is relevant to the conversation or will help someone feel better or laugh.,"you have a good heart, sharp intellect, and can let loose. also you have the desire to explore the bay and travel, meet good folks, or try new things.  i also love people who love music and love to laugh.  write me a joke if you have one."
24,single,m,straight,athletic,,socially,,,"black, native american, hispanic / latin, other",74,-1,,2012-06-29-11-16,"oakland, california",,,,,,english,"helloooo lol jk hi i like to have fun and make people laugh im easy going and get along with most people. i love doing a variety of things like playing pool, bowling, driving just to drive cooking. yea i can cook ;) traveling been to many states and a few countries going to movies, the beach,just being out doors or even just chilling at home and being lazy lol there's really a lot more but thats all i can think of at the moment",,"im good at cooking,welding,wood working realy im good at most things if i dont know i try and learn",my eyes they change color :) and my smile,my favorite book would have to be the bible because there are so many stories in that book alone and people live there lives based on it and everytime its mentioned there is so much controversy after that would be self help books. i love pretty much all kinds of movies. horror and action would have to be my favorite i don't really watch tv listen to a vatity of music i guess depends on my mood and food i love italian and mexican,god family sex yea i know conflicts with god but he made me lol cool people the ocean one more spot left guess stay tuned,helping people and hiting the lottery lol really just a bunch of random things,who knows im always doing something diffrent from just being lazy lol to being out of town :),i picked my screen name based on my body part dont belive me come find out lol,if you wanna chill do fun things or even just wanna say hi :)
23,single,f,straight,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,likes dogs and likes cats,other,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently),"hey i'm angel, here's a little about myself. i am a born an raised californian, whoo. been in the bay area for a while now. i'm a bit of a tomboy. i love video games, football (go niners), hiking, that kinda stuff. got to love the earth, so i try to stay conscious about how i effect the world and other people in it. i'm into politics too , although i dont know a bunch about them but i try to learn more. a proud obama supporter and democrat, of course.  i'm a fan of nature, music, fishing, bicycling, movies, art, good books, kid stuff and finding new things to get into. i'm goin to school to become a chef, i love everything about food so it was a given for me. i'm not what you say ""religous"" so i'm into men with a mind for discovering other things. i've found that i need a guy that is spiritual or its not really a good match.  i'm working on goals right now, just moved to san francisco and getting into school. i'm a happy person, down to earth and have great sense of humor, just trying to find a guy that can handle me. i'm an intellectual and very open minded. i'm into guys who have sense, home training and knows how to treat a lady. i like men that like to look nice and has a mind. happy hunting ;-)",discovering and exploring! finding myself. take care of business and working to get what i need and want out of life.,"art, math, learnin things fast, puzzles and brain teasers, picking out the perfect gift, most games i play, making things by hand, and being efficient (when i want to).",i'd say my hair and my eyes. i would say my smile but i'm not sure. i like my lips a lot tho.,"favorite books are: my life as a teenage fairy, sex love and dharma, anne rice's vampire books, steven king's dark tower series, lord of the rings, siddhartha, and the odyssey. favorite movies are: hello dolly, most disney movies, tomstone, nightmare before christmas, the crow, pirates of the caribbian, spirited away, and les miserables. i love shows like: house, how i met your mother, the office, dr. oz and family guy you know good humor things. i love all kinds of music from classis to hip hop and alot in between. i love all food, but mexican is my favorite. i could eat it all da time. i also love pastries and desserts. yummm","uumm, well music thats one, i love food but that might be a given. a good disney movie that's two. uumm humm, video games, nice warm showers and other people. maybe art too.","everything; the world, what i can do for fun, what's goin on with the people i love, the future, how i can stay in the present and what things really do matter. :j","home happy to have some quite and a good movie or out on the town with my girls, dancing.",sometimes i like to sit in the shower.. :) that's it. you'll have to ask me for more.,"you are chill, nice, down to earth, educated, caring, cultured, exiting, pleasant, attractive..ect. you think we'd be good friends? hit me. :)"
36,seeing someone,m,straight,fit,strictly anything,often,sometimes,graduated from ph.d program,white,70,-1,science / tech / engineering,2012-03-22-16-56,"emeryville, california",,likes dogs and likes cats,agnosticism,aries but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (poorly)","a business owner, a backend/frontend developer, a frequent hiker, a podcast listener, trying to be a banjo player, former bass player, former inorganic chemist, former theoretical magnetic resonator.  i just realized that staring at lava from 20 feet away and having it toss bits of molten rock at me, is probably the single greatest thing in the world.  you're gonna hear ""ma'am"" and ""lady"" from me, i just can't help it, as i've been raised southern style (not southern cali). my accent only comes out when provoked, in similar company, or beverage induced.  an aikidoist and hip - hop - banjo lover (i'm waiting for that genre to be created).  a former chemist turned business owner and frequent traveler (it gets boring sitting in one spot for too long, but i really do like to just go to a new spot and sit).  drive too fast and expect people to be better drivers then they are, and i shall let it be known.  not really into ""open/sf-ness"" crap-ol-la (you may ask yourself ""then why are you in sf?"". my answer is, i'm not. i'm in oakland). not my bag, tried it, didn't like it. don't even like dealing with more then one conversation at the same time (that could just be a time thing too). intj's unite. that's right you heard me.  not that this matters or anything, but according to the two signs (aries and the dragon) and my psych profile (intj), i should be an introverted, good-with-money, loyal, slightly competitive, over generalizing asshole with an uncanny ability to focus. mostly true.  basically i'm lookin' for a partner in crime. while i really like games, i tend to lose them a lot, so i'd prefer not to play them anymore.  me, me, me, me some more, i'd like a side of me with that, can i get me to go? sheesh. but i have questions for you. this is mad question-er website right? - gummy worms or gummy bears? - m&m: red, blue, green? (if you say yellow, orange or brown, you are disqualified) - bla fleck or tony trischka? - brooklyn or la - trees, snow or sand?",recovering from one hell of a month in africa. aikido. trying to learn the banjo. figuring out when and how to take an f1 racing course w/o going bankrupt. i'll figure out what's next when i get back.,"- breaking things, then trying to fix them all the while pretending to know what i'm talking about or doing. trouble is i don't really mean to break things sometimes, that can be too expensive sometimes.",i have on shoes.,"- if you like ""who's afraid of virginia wolf"", nice. - if you all sorts of music genres appeal to your inner child, nice. - if you know of frank herbert, nice. - if you laugh your ass off at top gear, family guy and/or futurama, i've got a nice tv for that. - if you're gonna be sad when breaking bad and mad men go off the air, i'll be there too. - if you wished treme was as good as the wire, i'd have to agree. - the hitchhiker's guide to the galaxy. we are all very small. - if beer and pork are involved i'll be way ok. - if japanese food is involved i'll be more then ok. - but really who cares? so long as you got interests of some kind, would be awful if we had all the same ones. how else does one find out about new things?","after spending 3 months with no couch ... i know now, my couch. music, beer, the sun (outdoors), aikido, intertubes",how to play the banjo better. how to blend better with the world. how to get out of the country more often. where's the next trail i've yet to hike?,"i have a knack for watching an entire tv series in one sitting, which i do sometimes. mostly these days, it's aikido, a bit of beer and sushi, a bit of vegetating (the week can be a long one sometimes), eaten' cookies and chillin'.","tyler, the creator makes me wanna move.","can type a bit of english. and would like to meet in person (it's way more efficient). and likes alcohol. and doesn't mind that i'm a little shy and it can take some warming up to. and likes to eat cookies and popcorn. and think that bourbon and chocolate is one of the most amazing pairings ever. and doesn't mind that a beard may float in or out from time to time. and thinks that valentines day is a kobayashi maru holiday. and can use google to figure out what that means. and like to start sentences with and.  and think that valentines day is a kobayashi maru holiday. and can use google to figure out what that means.  you'll need to write me too. i know the modus operandi around here is guy contact girl, but i check back here only when provoked, so provoke me."
35,single,m,straight,thin,,socially,never,,white,72,-1,,2012-06-24-18-46,"pleasant hill, california",,,atheism and laughing about it,aquarius,when drinking,english,"in general i'm open with how i feel and whats on my mind. i tend to talk to much and have strong opinions bout the world. some need to be told to shut it. but i don't take offence to it :p. don't believe conspiracies, government, god, ghost, aliens,...exc. but love talking about them when someone bring them up.","building picture frames and living life.  at this moment i'm delivering in the kansas city area. doing much driving from and to st. louis, and sleeping in hotels d:",knowing random pointless stuff,that i'm quite.... then they learn,"dresden files - jim butcher.... the books not the tv show death gate cycle - margaret weis & tracy hickman game of throne - tv show need to read books still dexter - tv show gorillaz, incubus, flogging molly listening to god is not great, christopher hitchens and cosmos, carl sagan",coffee starburst internet science philosophy,,,,
18,single,m,straight,,,,never,,"asian, black, pacific islander",68,-1,,2012-05-24-23-07,"hayward, california",,,,,,"english (fluently), sign language (okay), hindi (fluently)",,i am currently a high school senior in the east bay. cl@ss of 2012. looking forword to a more socialy active life after high school.,"i rally good at any sport really!. , good at rolling blunts and makeing sure that the peple with me are haveing a great time.",people usually notice my puffy hair and awsome skin tone. dont be shy cuz i also have a great personality that people might not notice at first.,not much of a reader but any holy book holds a great amount of wisdom and i respect that.,,,"go out with friends ""get in trouble"", or just kick it at the house.",ima-g,lets hang out.? yeah?.
55,single,m,straight,athletic,,not at all,never,dropped out of college/university,white,67,-1,construction / craftsmanship,2012-02-09-23-34,"alameda, california",has kids,likes dogs and likes cats,other but not too serious about it,leo,no,"english (fluently), spanish (fluently), japanese (poorly)",i'm almost 54 and 1/2 and i've decided what i want to be when i grow up.,working towards my goals.,"breaking things, fixing things, building things, making things work. that includes hard things, soft things, intangible and tangible things.",they probably think i'm pissed off but i'm not.,"mishima yukio, haiku  lawrence of arabia, tampopo, the professional  latin especially brasilian. weezer! i love their poetry and their jams. strokes, i have dylan, hot tuna, miles davis, doc watson, beethoven, roberta sa, joaquin sabina, johnny cash, among other stations in pandora.  art! period","ummm..... fresh air and water paper towels, bounty, half sheet blue painter's tape a bowl of hot noodles once in a while to restore my faith in humanity","fuzzy things, i hate logic, screw spock",eating brown rice wrapped in shoyu nori with my hands,"what those silk ties are doing in my closet...actually i used to live/work in tokyo and dark suits and neck ties were like vitamins, you took them every day.",you are on your way
21,single,f,straight,average,mostly vegetarian,not at all,never,working on space camp,"white, other",65,-1,,2012-06-29-13-31,"san francisco, california",doesn't have kids,likes dogs and likes cats,other and somewhat serious about it,capricorn and it&rsquo;s fun to think about,no,"english (fluently), russian (okay), french (poorly)","single, white, female.  ok, ok...  it seems as though the virtual representation of a person always includes: hiking, painting, reading to the blind, impressively active and productive activities ad nauseum. if that were the truth, i would probably see more than five people on lengthy hikes and not nearly as many people switching between twitter and craigslist's missed connections on their laptops at every coffee shop i've ever been to, ever--just sayin'.  in order to combat this trend, how about i just write about what i did this past week? i began and finished two paintings, drew a bunch, ate some chocolate form germany and czech republic, worked a bunch, missed a lot of sleep, got sick, went to the bank, and cleaned the bathtub. nothing too out of line and i got some important stuff in! bam!  also, my laptop began having a problem, so i'm not being rude by not replying to your messages; i'm just not able to (or best excuse ever?).","by day, i make sandwiches. by night, i paint. also, i don't make sandwiches every day. sometimes, i go on hikes or do other things. also, i don't paint every night. some nights, i am with friends or catching up on laundry. i breathe most of the time and i read some of the time.  i'm not partial to this kind of vague self-examination. :p give me some parameters and i'll figure out answers for you.",...avoiding the question. see?,"my really exotic brown hair and brown eyes. the leprosy, perhaps?","books: oh, lord...currently reading why zebras don't get ulcers by sapolsky and in the realm of hungry ghosts by gabor mate. top-of-my-head favorites: the life of pi, the heart of darkness, sex at dawn, a christmas carol, entertaining ourselves to death, freakonomics.  movies: the sound of music (i know, i know), what the bleep do we know, nothing to lose, matilda, food, inc.  shows: the usual seth macfarlane/matt groening filth. :p okay...i also love the brady bunch. 5 handsome points if you are familiar with the twilight zone, the original one!  music: john frusciante and noise less impressive. i'm recently received the soundtrack for everything is illuminated in the mail, which i'm excited about.  food: pumpkin curry, frozen fruit bars: these are a few of my favorite things...","1. sleeep 2. water, my most favorite beverage 3. paper/pencil 4. fresh air/access to good hiking trails 5. silence 6. apparently, loose regulations on how many items can be consolidated on a list/dental floss.","honestly--sleep, food, and scheduling. otherwise, long-term life goals, strange possibilities, ideas for jokes, amusing drawings, and paintings.  now and again, i find myself considering how my environment breaks down into basic geometric shapes, the intensity of the curves that combine them, their relative proportions, the space between them, and life's mysterious, reliable algorithms. i also like to pause and think about newton's law of universal attraction and consider that i am connected and interdependent of everything in this world. this is a strange dimension and, basically, the answer to the question, ""what do you mean, 'other' and serious about it?"" the physical realm is a god-like entity. it's a trip.","three times out of four, i'm working. on the occasional night i'm not, i'm either at home, hermitting it up or out enjoying the company of a friend or two in a grungy cafe or at someone's house.","i really don't care for yoga and i think sugar tastes bad. i still find myself eating it! talk about conditioning, right?  the reason i'm on okc at 2:00am isn't because i use it as a networking took for prostitution, but because i happen to get home late from work and that's my main internet time. :)","you want to, or you don't not want to. whichever is fine, really."
28,seeing someone,f,straight,thin,mostly anything,socially,,working on college/university,white,66,-1,student,2012-06-22-02-01,"berkeley, california",,likes dogs and likes cats,,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)","currently in a mono relationship.  ""i love having fun with friends outside - at the park, at a lounge, wherever there are fun people i want to go to there"" --this is my clich for today.  according to my gps i am in the middle of an ocean, but my heart will find the way, because i'm not lost and i know exactly where i'm going.  i have a vast amount of interests, love art, i live for traveling, scuba, i ski/snowboard--poorly, love music festivals (burning man), reading (currently a book a day or equivalent), science, poetry--i used to do spoken word shows, i love having dinner parties, recently got in to slacklining: http://en.wikipedia.org/wiki/slacklining  i am interested in sustainability--recently worked on a community based research project examining if free green retrofits are leading to greener lifestyles.  i'm a mixed bag, i adapt to situations easily and will usually find common language with people from all walks of life.  i'm originally from poland and also lived in berlin as a child. i am fun, love being social, have a dry and sarcastic sense of humor, at the same time i am sweet and nurturing and in my private time spend quite a bit of time introverting.  i have a very different and unique relationship with almost every person in my life, i dont believe in being generic. growth is extremely important to me, i am always developing, reinventing, and improving my self. i looking for the same in a partner.","i used to be an incredibly serious person, now i just try to live life to the fullest (i know total clich #2) and laugh as much as i can. it's hard to reprogram yourself! i feel like i have lived many life times and been many people.  i am currently a student at cal, studying cultural anthropology with emphasis in ethnographic film, primarily interested in gender roles and social constructs of deviant perceptions on behaviors.  in addition i'am working with a company, based out of poland, to export various commodities to the us.","cooking, feeding my friends. nurturing :) playing kick ball while dancing at silent disco--http://en.wikipedia.org/wiki/silent_disco making you laugh. speaking dolphin--no seriously.","my eyes. i've been told on several occasions i have wolf eyes, they fluctuate between deep sea green and silver. my smille and my laugh :)","books... yes i read. i always have a really hard time answering that one so i looked at my bookshelf: quantum physics, energy and politics, rake, art, poems, hermaphrodites in india, travel, just to name some of the subjects of interest. i love zinn.  movies: baraka, ashes and snow, are my absolute favorites. royal tenenbaums, the darjeeling limited. also film noir and lots of documentaries.  shows: weeds & heroes (the first season), deadwood. currently watching the game of thrones.  music: lots! from classical (philip glass) to trip hop (portishead)  food: im a huge foodie :) i love food!!!! making it, eating it, sharing it, talking about it.....","my friends, loving people, traveling, creativity, cuddling.",the inner workings of the human condition. oh and carrots.,"people watching, usually through my spy wear glasses or hunting unicorns if the weather is nice.  out with friends, or working on art, writing/reading or cooking.  the truth is: i sit alone while browsing okcupid crying that my photos are photoshopped--in reality i am 300 pounds and have a beard--while eating a bucket of ice cream (sometimes they are salty from my tears), oh and a fried turkey leg.",i once slightly pooped myself at union square in front of that giant starbucks. it was last summer. i think it's the funniest and most embarrassing thing that ever happened to me. i realized that sharing this potentially horrifying moment makes people cry from laughter so my embarrassment was not wasted. we should all laugh more from ourselves!,"ur awesome! funny, smart, sweet, kind, and thoughtful! you think that girls that can speak dolphin and wear tv helmets at music festivals, are cute ;) oh and your not in love with your roommate!"
24,single,m,straight,average,,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,2012-06-28-11-06,"san francisco, california",,has cats,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter,no,"english, russian (okay)","i graduated from uc berkeley with a degree in eecs (electrical engineering and computer science). i enjoy doing things with computer and cars - my two main hobbies.  about myself: i immigrated to the us in 1995 and settled in los angeles.  i am amusing, funny, and geeky","working, going on random drives, etc","computers, mixing drinks :)",i look like harry potter?,"music... so much. i listen to pretty much everything, with an emphasis on rock, techno and electronica. movies.. fight club, back to the future, se7en, come to mind. i loved reading tale of two cities because of its focus on the french revolution and great gatsby.",glasses my car cell phone radar detector wallet computer,the economy?,"looking for parking, hanging out with friends, movies :)",,"you're interested in someone who's motivated, but yet knows how to have fun :)"
50,single,m,straight,fit,mostly anything,socially,never,graduated from two-year college,white,75,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,dislikes dogs and has cats,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",i am single girls!!! come get me!! hahaha  i am a tall white guy who is looking for a younger woman. ask me anything if you would like to know more :),"i try to avoid watching tv, and eat as healthy as i can, this can be a challenge when you are at the drive through...","fixing broken things and eating chocolate, and reaching the milk that's way in the back on the top shelf.",i am tall.,"i love comedies, in-depth documentaries, and action movies. i am not fond of any particular genre of music, i like it all, as long as it sounds good. as for food, anything sweet, or cheesy sounds good. i also love to eat fruit!","physically:my polo deodorant, my toothbrush, dental floss, desenex foot powder, allegra (during allergy season) emotionally:love, friends, family, jesus, my kids, my kitty cat.",chocolate...,"watching a dvd with friends. ok, so here's my attempt at standup: (this is actually a true story) so i meet this asian girl on okcupid we are hitting it off fine things are really looking good she asks me:""so are you into asian girls"" my reply ""sort of"" (i am actually into any woman who is not a white american woman) her reply ""well i don't date guys who are into asian girls"" wtf!?!?!?!?!?!? she is like: ""too late"" it all went downhill from there... its too bad too 'cuz she seems like the perfect woman...","emotionally: i'm sort of like a girl. i cry during movies, i always end up at the women's table at parties, i could care less about sports, i love to do the laundry, i am nurturing...",#NAME?
23,single,m,straight,athletic,anything,socially,sometimes,graduated from space camp,white,66,-1,artistic / musical / writer,2012-06-15-23-59,"san francisco, california",,likes dogs and likes cats,,cancer,trying to quit,"english (fluently), russian (fluently)","i'm a fun loving, rock climbing, designer. adventure is my middle name, well actually it's not, but i love that shit. i made my own bike and have been riding it in my spare time exploring sf.","good question! i'm a designer, but that's more a way of life than an occupation.",learning things and diving into any situation.,probably my eyes? i'm not sure. i'm kind of oblivious when women are checking me out... i guess that's why i'm here?,scott pilgrim vs. the world (both the movie and graphic novel) electronic/alternative music. as far as food goes i've developed an adventurous palette through my travels.,"in no particular order: 1) lazy sunday mornings and sleeping in. 2) my friends are the best people in the world, they're not things, but technically i could never live without them. 3) sunny days 4) making and designing things. 5) adventure. i'm always exploring. 6) food. specifically, good food.",how things are made and assembled.,i'm usually cooking and hanging out with friends. we like to take san francisco by storm on the weekends.,nothing online. i don't trust where my data is going these days on the internet.,
21,single,m,straight,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70,1000000,medicine / health,2012-06-29-17-01,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about,sometimes,english,"ill-matic, drastically fantastic, orgasmic, incomparable to ""plastic"", seen as drastic and spastic, yet my prophetic facts are prophylactic.  i don't, i do.",enjoying it.,"producing music, entertaining, struggling with maturity, and isolating myself.","hair or clothes, or that i'm longboarding.","the art of war, fear and loathing in las vegas waking life, a scanner darkly, rampage workaholics, the daily show, south park suicide commando, sleepytime gorilla museum italian, japanese",i don't need a god damn thing.,everything. also your mom.,doing the most.,i'm probably down for a lot more than you realize.,you feel so inclined.
27,single,f,bisexual,curvy,mostly anything,socially,never,graduated from college/university,white,62,-1,medicine / health,2012-06-12-23-51,"san francisco, california",,,other but not too serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)","i like to keep busy, but i'm the sort of person who will stop to smell the roses or look at beautiful clouds in the sky. i'm a sucker for corny jokes, new experiences, and dancing of almost any kind-my current favorites are west coast swing, lindy hop, and tango. when i'm not working, i'm dancing (socially or in class), learning spanish, hanging out with friends, or reading. i look forward to traveling more in the future-whether its a weekend road trip or a three month trip to another continent.",,,usually my smile or my blue eyes.,"books: enders game, enders shadow. behind the scenes at the museum by kate atkinson. never let me go is my most recent read.  music: michael buble, sara barielles, adele, basia bulat, la roux, nickle creek, carrie underwood  food: asian (thai, vietnamese), pizza",my friends the library dance parties,,out with my friends!,i don't own a smart phone.,"you have lots of enjoyable corny jokes up your sleeve, are willing to swing dance, or at least explore the wonderful city of san francisco."
27,single,m,straight,fit,,socially,,graduated from college/university,asian,68,150000,science / tech / engineering,2012-02-29-12-08,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english,"* sorry for the lack of detailed pictures. a lot of friends and colleagues visit this site, and i'm pretty sure they would recognize me *",wasting it away.,,that i barely have a nose. i'm bald. i'm freakishly pale. i like to wear dark colored capes. i eat unicorns.  and i freaking hate harry potter!,fav book: barney's c is for christmas fav show: vagina monologues fav movie: human centipede fav food: you! fav music: the sound of my own farts,0. my robe. 1. my wizard hat. 2. being able to count to 10.,cookies,drinking tiger blood.,,why not?
